38,diagonalSort,[31;]
38,mat,[32;]
5,mat,[32;38;]
6,683287027[0],[32;]
6,mat,[32;38;]
9,n,[5;]
10,m,[6;]
11,i,[9;]
11,j,[10;]
12,d,[11;]
12,hm,[7;]
13,d,[11;]
13,hm,[7;]
14,i,[9;]
14,j,[10;]
14,683287027[0],[32;]
14,d,[11;]
14,458209687[0],[32;]
14,hm,[7;13;]
14,mat,[38;]
15,ind,[8;]
15,d,[11;]
15,hm,[7;13;14;]
10,m,[6;]
10,j,[10;]
11,i,[14;]
11,j,[10;]
12,d,[11;]
12,hm,[7;8;13;15;]
13,d,[11;]
13,hm,[7;13;15;]
14,i,[14;]
14,j,[10;]
14,683287027[0],[32;]
14,d,[11;]
14,458209687[1],[32;]
14,hm,[7;13;15;]
14,mat,[38;]
15,ind,[8;13;14;]
15,d,[11;]
15,hm,[7;13;14;15;]
10,m,[6;]
10,j,[10;]
11,i,[14;]
11,j,[10;]
12,d,[11;]
12,hm,[7;8;13;14;15;]
13,d,[11;]
13,hm,[7;8;13;15;]
14,i,[14;]
14,j,[10;]
14,683287027[0],[32;]
14,458209687[2],[32;]
14,d,[11;]
14,hm,[7;13;]
14,mat,[38;]
15,ind,[8;13;14;]
15,d,[11;]
15,hm,[7;13;14;]
10,m,[6;]
10,j,[10;]
11,i,[14;]
11,j,[10;]
12,d,[11;]
12,hm,[7;13;14;15;]
13,d,[11;]
